rublər,gdp,dovlət_gəlirləri,dovlət_xərcləri,əhalinin_nominal_gəlirləri,əhalinin_banklardakı_əmanətləri,orta_aylıq_əməkhaqqı,xarici_ticarət_dovriyyəsi,ixrac,idxal,pul_bazası,oil_price,tikinti_qurasdırma_islərinə_sərf_edilmis_vəsait,istehlak_xərcləri,yasayıs_evlərinin_tikintisinə_yonəldilmis_investisiyalar,mənzil_qiymətləri,nagd_pul_kredit_satısı,mustərilərə_verilmis_kreditlər,npls,roa,roe,net_interest_margin,efficiency_ratio,loan_to_deposit_ratio,mustəri_sayı,ucot_faiz_dərəcəsi,__raw_quarter_values,quarter_parsed
2024.0,29096800.0,9234300.0,8412600.0,19408100.0,13150500.0,0.9853,16839350.0,10529630.0,6309719.999999999,20396400.0,0.14110566666666668,2413844.599999999,0.34954,233462.2,1.5520240575767195,92049.80842,669359.78759,16.43022009999996,0.003798249953003677,0.024585748681087517,0.02381878484141557,0.7462670094618404,1.0709283670246263,139975.0,0.0775,2024 I,
2024.0,30423599.999999996,9608600.000000002,7639500.0,20473100.0,14180700.0,1.0028,20848290.0,12083770.0,8764520.0,20401000.0,0.14389933333333332,2868130.7000000007,0.35345,630847.3999999999,1.5860133844376498,115337.48200000002,712667.61041,16.226821889999915,0.01157529390593537,0.07863605440986166,0.025062929405175866,0.7452009047450583,1.1254406752003696,198624.0,0.0725,2024 II ,
2024.0,33309100.000000007,8894099.999999998,9121900.0,21705800.000000004,14164000.0,0.993,20407990.0,10588790.0,9819199.999999998,20897400.0,0.13573366666666664,3590035.8,0.36143000000000003,800935.4,1.6456474876925056,126285.41380000001,750604.1268900001,20.050513879999997,0.021789035779643296,0.13383431266535933,0.028373769446463866,0.7261943040999502,1.2091265938955278,224272.0,0.0725,2024 III,
2024.0,33507500.0,9427199.999999996,12545699.999999996,21506399.999999993,14661900.0,1.0092,22478250.0,11573090.0,10905159.999999998,20916500.0,0.12684266666666666,5155278.8999999985,0.36351999999999995,907499.8999999999,1.6999538547863582,110883.18506999999,760424.19,17.582014080000015,0.027755216386013838,0.16655025443741736,0.027982304108901325,0.7329011968594001,1.1902673076386576,250864.0,0.0725,2024 IV,
2025.0,29892900.0,9733400.0,8115000.0,20690700.0,15074000.0,1.0837999999999999,20325710.0,10698610.0,9627100.0,21498100.0,0.12888266666666667,2344373.1,0.36776,682931.6,1.7750918151679151,93983.08141,777043.67135,23.714639649999807,0.007107397181280365,0.043815235175725935,0.025499643551159572,0.6797272435746958,1.164487081216225,245777.0,0.0725,2025 I,
2025.0,32185299.999999996,10070500.000000002,8980599.999999998,22057100.000000004,15437000.0,1.0973,20413600.0,10453130.000000002,9960470.000000002,21471300.0,0.11561133333333332,3355171.6999999997,0.37445999999999996,650612.9,1.7946178251347622,29173.984039999992,817018.92578,26.273901530000035,0.013527105809768493,0.08924951171827195,0.02478419176751925,0.686424272980111,1.1444629946998681,252200.0,0.07125000000000001,2025 II,
2025.0,32185299.999999996,10070500.000000002,8980599.999999998,22057100.000000004,15437000.0,1.0973,20413600.0,10453130.000000002,9960470.000000002,21471300.0,0.11561133333333332,3355171.6999999997,0.37445999999999996,650612.9,1.7946178251347622,,,26.273901530000035,0.013527105809768493,0.08924951171827195,0.02478419176751925,0.686424272980111,,252200.0,0.07125000000000001,nan,
2025.0,32185299.999999996,10070500.000000002,8980599.999999998,22057100.000000004,15437000.0,1.0973,20413600.0,10453130.000000002,9960470.000000002,21471300.0,0.11561133333333332,3355171.6999999997,0.37445999999999996,650612.9,1.7946178251347622,,,26.273901530000035,0.013527105809768493,0.08924951171827195,0.02478419176751925,0.686424272980111,,252200.0,0.07125000000000001,nan,
2025.0,32185299.999999996,10070500.000000002,8980599.999999998,22057100.000000004,15437000.0,1.0973,20413600.0,10453130.000000002,9960470.000000002,21471300.0,0.11561133333333332,3355171.6999999997,0.37445999999999996,650612.9,1.7946178251347622,,,26.273901530000035,0.013527105809768493,0.08924951171827195,0.02478419176751925,0.686424272980111,,252200.0,0.07125000000000001,nan,
2025.0,32185299.999999996,10070500.000000002,8980599.999999998,22057100.000000004,15437000.0,1.0973,20413600.0,10453130.000000002,9960470.000000002,21471300.0,0.11561133333333332,3355171.6999999997,0.37445999999999996,650612.9,1.7946178251347622,,,26.273901530000035,0.013527105809768493,0.08924951171827195,0.02478419176751925,0.686424272980111,,252200.0,0.07125000000000001,nan,
