Rüblər,Year,Quarter,Time_Index,Nağd_pul_kredit_satışı,GDP,Dövlət_Gəlirləri,Dövlət_Xərcləri,Əhalinin_nominal_gəlirləri,Əhalinin_banklardakı_əmanətləri,Orta_aylıq_əməkhaqqı,Xarici_ticarət_dövriyyəsi,İxrac,İdxal,Pul_bazası,Oil_Price,Tikinti-quraşdırma_işlərinə_sərf_edilmiş_vəsait,İstehlak_xərcləri,Yaşayış_evlərinin_tikintisinə_yönəldilmiş_investisiyalar,Mənzil_qiymətləri,Portfel,NPLs,ROA,ROE,Net_Interest_Margin,Efficiency_Ratio,Loan-to-Deposit_Ratio,Müştəri_sayı,Uçot_faiz_dərəcəsi
2022 III,2022,3,10,108253.86425,34713400.0,8196000.0,7534100.0,17991800.000000004,11225700.0,0.8274,26130020.0,19438310.000000004,6691709.999999998,16144900.0,17.121266666666664,2609270.0000000014,0.3267614,273015.69999999995,1.3567723430391072,531929.56961,17.05736131000002,4.704747137968012,26.42748832766934,3.071032491344275,59.263917781899856,141.42547734847687,59127.0,7.5
2022 IV,2022,4,11,125262.02031,35747999.999999985,8259099.999999998,11537599.999999998,17963100.000000007,11743000.0,0.8393999999999999,25425030.000000004,18205809.99999999,7219220.0,17460300.0,15.054633333333332,3102579.6000000024,0.33343,265299.20000000007,1.3929981645982514,577534.37497,13.725092165000149,5.257293786180233,30.00615789941053,3.031781014565296,61.675306570135845,140.76329135278996,62920.0,8.125
2023 I,2023,1,12,76131.985,30310600.0,8290000.0,6567000.0,18479900.0,11964400.0,0.9013,20857810.0,14006980.0,6850830.0,17688900.0,13.799466666666666,931341.1,0.3295,185334.7,1.436181107700797,583589.24106,13.91708009000012,1.2957782043627162,7.198844297250114,2.8446643970608547,65.51484472418477,133.54593549091987,56186.0,8.5
2023 II,2023,2,13,100794.532,29991500.0,7190000.0,7496299.999999999,19391200.0,12748800.0,0.9219,18163480.000000004,11076860.000000002,7086620.000000001,18401700.0,13.313833333333337,3413103.599999999,0.33751,213512.8,1.4528408085501263,617854.0735200001,16.57960016000002,2.145468341710836,13.072623806789698,2.7257837098284914,66.02236322696248,126.28784059943304,76558.0,8.875
2023 III,2023,3,14,104918.58741999997,30510400.0,6597000.0,9151200.0,20147200.000000004,12705500.0,0.9198,18084940.000000004,10578250.0,7506690.000000002,17896200.0,14.7322,3196767.100000001,0.34523,240258.19999999995,1.4933750671086752,643085.23779,22.302806459999942,2.9781212326230304,17.64440790741645,2.716691213264652,67.51261750993976,128.41566858613297,91918.0,9.0
2023 IV,2023,4,15,94647.02724000008,32193000.0,13497800.000000004,13244000.0,20031899.999999996,12947800.0,0.9338,19170220.0,11229350.0,7940869.999999997,20875200.0,14.232966666666666,5075198.399999999,0.34811,332326.4,1.5189117807562331,659043.31908,17.300444700000018,2.9232917758229195,18.31934981693755,2.582138017020799,73.13097865186329,116.24018409204793,108724.0,8.5
2024 I,2024,1,16,92049.80842,29096800.0,9234300.0,8412600.0,19408100.0,13150500.0,0.9853,16839350.0,10529630.0,6309719.999999999,20396400.0,14.110566666666667,2413844.599999999,0.34954,233462.2,1.5520240575767197,669359.78759,16.43022009999996,0.3798249953003677,2.458574868108752,2.381878484141557,74.62670094618404,107.09283670246263,139975.0,7.75
2024 II ,2024,2,17,115337.48200000002,30423600.0,9608600.000000002,7639500.0,20473100.0,14180700.0,1.0028,20848290.0,12083770.0,8764520.0,20401000.0,14.389933333333332,2868130.7000000007,0.35345,630847.3999999999,1.5860133844376498,712667.61041,16.226821889999915,1.157529390593537,7.863605440986165,2.5062929405175867,74.52009047450584,112.54406752003696,198624.0,7.249999999999999
2024 III,2024,3,18,126285.4138,33309100.000000007,8894099.999999998,9121900.0,21705800.000000004,14164000.0,0.993,20407990.0,10588790.0,9819199.999999998,20897400.0,13.573366666666663,3590035.8,0.36143,800935.4,1.6456474876925056,750604.1268900001,20.05051388,2.1789035779643298,13.383431266535933,2.837376944646387,72.61943040999502,120.91265938955276,224272.0,7.249999999999999
2024 IV,2024,4,19,110883.18507,33507500.0,9427199.999999996,12545699.999999996,21506399.999999996,14661900.0,1.0092,22478250.0,11573090.0,10905159.999999998,20916500.0,12.684266666666666,5155278.899999999,0.3635199999999999,907499.9,1.6999538547863582,760424.19,17.582014080000015,2.775521638601384,16.655025443741735,2.7982304108901324,73.29011968594001,119.02673076386576,250864.0,7.249999999999999
2025 I,2025,1,20,93983.08141,29892900.0,9733400.0,8115000.0,20690700.0,15074000.0,1.0838,20325710.0,10698610.0,9627100.0,21498100.0,12.888266666666668,2344373.1,0.36776,682931.6,1.7750918151679151,777043.67135,23.714639649999807,0.7107397181280365,4.381523517572593,2.549964355115957,67.97272435746959,116.44870812162247,245777.0,7.249999999999999
2025 II,2025,2,21,29173.984039999992,32185300.0,10070500.000000002,8980599.999999998,22057100.000000004,15437000.0,1.0973,20413600.0,10453130.000000002,9960470.000000002,21471300.0,11.561133333333332,3355171.7,0.3744599999999999,650612.9,1.7946178251347622,817018.92578,26.273901530000035,1.3527105809768494,8.924951171827194,2.478419176751925,68.6424272980111,114.4462994699868,252200.0,7.125000000000001
